recency,frequency,monetary,segment
2015-01-14,15,1012,P0
2015-02-09,20,1490,P0
2015-02-12,19,1432,P0
2015-03-05,22,1659,P0
2014-08-25,13,857,P2
2014-07-02,17,1185,P0
2015-03-14,15,1011,P0
2015-03-05,15,1158,P0
2015-03-06,24,1677,P0
2015-02-03,26,1524,P0
2015-02-02,16,1156,P0
2014-11-27,19,1331,P0
2015-01-02,18,1127,P0
2015-02-19,12,885,P2
2014-09-18,19,1165,P0
2015-02-05,24,1676,P0
2014-12-31,26,1921,P0
2014-11-30,12,853,P2
2015-03-13,19,1185,P0
2015-02-24,14,998,P2
2015-02-17,16,1074,P0
2015-02-21,19,1413,P0
2014-11-27,16,1166,P0
2014-04-15,20,1267,P0
2015-02-17,20,1339,P0
2015-01-20,20,1380,P0
2015-03-03,24,1863,P0
2014-11-25,18,1245,P0
2015-02-16,20,1434,P0
2015-01-22,25,1778,P0
2014-10-06,22,1847,P0
2014-08-16,16,1255,P0
2014-10-11,18,1222,P0
2014-10-25,27,1967,P0
2015-03-09,16,1117,P0
2015-03-12,15,1004,P0
2014-12-23,25,1733,P0
2015-03-01,25,1768,P0
2014-12-17,14,1075,P2
2015-02-18,16,1040,P0
2015-03-10,20,1457,P0
2015-02-10,18,1274,P0
2015-03-16,23,1436,P0
2014-11-10,19,1317,P0
2015-03-07,20,1445,P0
2015-02-25,21,1427,P0
2014-12-04,18,1159,P0
2015-02-08,22,1439,P0
2015-01-31,20,1380,P0
2015-03-12,22,1389,P0
2015-02-25,24,1815,P0
2015-02-06,18,1290,P0
2015-02-27,26,2037,P0
2014-12-12,20,1335,P0
2014-12-08,19,1507,P0
2014-11-17,16,1132,P0
2014-11-25,14,916,P2
2014-12-20,18,1175,P0
2015-03-13,18,1272,P0
2015-03-15,22,1555,P0
2014-07-01,18,1306,P0
2015-01-26,21,1429,P0
2015-02-21,23,1554,P0
2015-01-23,17,1106,P0
2015-02-15,18,1401,P0
2015-02-06,17,1310,P0
2015-02-13,22,1535,P0
2015-01-29,29,2091,P0
2015-01-21,23,1637,P0
2015-01-18,27,1893,P0
2014-12-04,24,1749,P0
2015-03-04,26,1967,P0
2015-03-16,28,1999,P0
2015-03-05,27,1801,P0
2015-01-23,19,1439,P0
2015-02-22,22,1559,P0
2015-03-12,16,1010,P0
2015-01-12,23,1564,P0
2015-02-04,18,1324,P0
2015-01-09,21,1522,P0
2015-02-06,18,1313,P0
2014-06-06,15,953,P2
2015-03-07,22,1505,P0
2015-02-24,20,1378,P0
2015-03-15,23,1559,P0
2014-10-06,17,1180,P0
2015-03-05,22,1571,P0
2014-11-12,20,1344,P0
2014-09-27,21,1667,P0
2015-01-23,19,1375,P0
2015-01-21,20,1331,P0
2015-01-27,21,1536,P0
2015-01-28,17,1023,P0
2015-03-13,17,1103,P0
2014-10-10,24,1514,P0
2015-02-05,18,1310,P0
2015-02-09,15,1000,P2
2015-03-14,27,1809,P0
2014-12-08,21,1546,P0
2015-01-18,18,1218,P0
2014-10-09,17,1200,P0
2014-11-09,18,1191,P0
2015-03-09,19,1289,P0
2014-11-03,35,2362,P0
2014-10-28,24,1798,P0
2014-12-29,20,1431,P0
2015-02-07,24,1687,P0
2015-03-12,21,1447,P0
2015-02-24,9,720,P2
2014-10-04,19,1372,P0
2015-01-30,21,1585,P0
2015-01-22,17,1299,P0
2014-11-21,8,578,P2
2015-01-28,17,999,P2
2015-01-21,18,1213,P0
2015-02-19,27,1783,P0
2015-01-29,19,1368,P0
2015-02-17,19,1194,P0
2015-03-11,20,1415,P0
2014-10-13,23,1750,P0
2014-12-11,20,1452,P0
2014-11-21,21,1374,P0
2015-03-12,21,1349,P0
2014-10-26,22,1507,P0
2015-02-02,22,1668,P0
2014-08-28,24,1823,P0
2015-02-24,26,1808,P0
2014-07-07,11,771,P2
2015-03-13,30,2126,P0
2015-02-16,27,1818,P0
2015-01-16,13,943,P2
2015-02-06,17,1087,P0
2014-10-26,21,1492,P0
2015-01-03,19,1321,P0
2014-05-25,20,1431,P0
2015-02-16,28,1773,P0
2015-03-07,17,1172,P0
2014-12-17,23,1846,P0
2015-03-04,24,1625,P0
2015-03-14,14,1035,P2
2014-11-29,18,1411,P0
2015-01-01,17,1399,P0
2015-03-13,21,1599,P0
2015-01-08,29,1998,P0
2014-08-15,19,1304,P0
2015-02-19,15,1050,P0
2015-02-19,22,1458,P0
2014-09-29,22,1679,P0
2014-10-21,26,1941,P0
2014-12-19,26,1943,P0
2014-12-22,16,1040,P0
2015-03-13,14,1096,P2
2015-03-13,12,959,P2
2015-01-24,14,1128,P2
2015-02-05,15,1076,P0
2014-11-26,26,1812,P0
2015-01-10,27,1946,P0
2015-01-07,19,1272,P0
2015-02-17,27,1990,P0
2015-02-09,25,1683,P0
2015-02-27,19,1279,P0
2015-02-17,25,1800,P0
2015-03-11,20,1381,P0
2015-03-16,18,1321,P0
2015-02-17,21,1505,P0
2014-12-18,17,1142,P0
2014-11-27,22,1572,P0
2015-01-28,21,1411,P0
2015-03-03,21,1262,P0
2015-03-04,23,1715,P0
2014-11-04,15,1014,P0
2015-02-25,22,1683,P0
2015-03-11,24,1836,P0
2015-02-19,24,1778,P0
2015-01-07,21,1511,P0
2014-09-07,20,1440,P0
2014-07-08,17,1125,P0
2015-03-13,19,1355,P0
2014-12-10,20,1625,P0
2015-03-16,15,1006,P0
2015-02-23,18,1307,P0
2015-01-01,21,1625,P0
2015-02-10,30,2129,P0
2015-03-13,22,1487,P0
2015-03-04,21,1505,P0
2015-01-11,12,765,P2
2015-01-31,21,1561,P0
2014-12-06,21,1552,P0
2015-03-09,18,1309,P0
2015-02-19,19,1250,P0
2015-02-14,19,1278,P0
2015-02-02,22,1634,P0
2014-12-27,15,874,P2
2014-12-01,16,1031,P0
2015-03-12,15,1153,P0
2015-01-02,18,1220,P0
2015-02-26,21,1487,P0
2015-01-11,12,761,P2
2014-11-16,15,1103,P0
2015-02-10,18,1129,P0
2015-02-26,16,1353,P0
2015-03-05,29,2072,P0
2013-10-13,13,891,P2
2015-01-01,15,1030,P0
2015-02-15,26,1726,P0
2015-02-26,16,1146,P0
2015-02-28,22,1693,P0
2014-12-18,18,1161,P0
2015-03-04,18,1382,P0
2015-03-16,21,1668,P0
2015-03-11,26,1964,P0
2014-11-11,23,1595,P0
2014-08-20,24,1611,P0
2014-08-25,18,1209,P0
2015-02-20,27,1940,P0
2015-03-02,23,1525,P0
2014-08-10,15,1043,P0
2014-11-14,17,1158,P0
2015-02-17,23,1750,P0
2015-03-06,15,1170,P0
2014-11-06,29,2010,P0
2015-01-29,8,625,P2
2014-12-27,25,1781,P0
2014-11-15,17,1157,P0
2014-11-28,24,1696,P0
2015-02-08,22,1668,P0
2015-02-25,18,1436,P0
2015-01-16,23,1680,P0
2014-11-10,20,1506,P0
2015-01-07,13,1038,P2
2015-03-15,16,1326,P0
2015-01-08,21,1489,P0
2015-02-20,25,1638,P0
